year,skyjack
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,7
1949,7
1950,4
1951,1
1952,4
1953,0
1954,2
1955,0
1956,2
1957,0
1958,8
1959,6
1960,8
1961,10
1962,1
1963,1
1964,0
1965,5
1966,4
1967,5
1968,29
1969,86
1970,77
1971,54
1972,59
1973,22
1974,20
1975,19
1976,16
1977,32
1978,26
1979,23
1980,37
1981,31
1982,31
1983,34
1984,27
1985,26
1986,16
1987,12
1988,15
1989,15
1990,38
1991,20
1992,11
1993,36
1994,27
1995,12
1996,17
1997,12
1998,14
1999,13
2000,27
2001,11
2002,10
2003,9
2004,4
2005,1
2006,3
2007,6
2008,3
2009,5
2010,1
2011,1
2012,3
2013,1
2014,3
2015,0
2016,2
2017,0
2018,1
